,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
15,4615.0,405.0,0.0,8287.0,22.49,0.0,21.084899999999998
16,4917.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
17,5219.0,405.0,0.0,8288.0,22.45,0.0,21.0449
18,5521.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
19,5823.0,405.0,0.0,8287.0,22.49,0.0,21.084899999999998
20,6125.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
21,6427.0,405.0,0.0,8287.0,22.49,0.0,21.084899999999998
22,6729.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
23,7031.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
24,7334.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
25,7636.0,421.0,0.03,8287.0,22.49,0.03608374769999995,21.084899999999998
26,7939.0,435.0,0.07,8287.0,22.49,0.07258174769999995,21.084899999999998
27,8241.0,459.0,0.13,8287.0,22.45,0.13514974769999996,21.0449
28,8543.0,464.0,0.14,8287.0,22.45,0.14818474769999995,21.0449
29,8846.0,513.0,0.26,8286.0,22.42,0.27592774769999995,21.0149
30,9148.0,482.0,0.18,8285.0,22.42,0.19511074769999995,21.0149
31,9450.0,487.0,0.2,8285.0,22.35,0.20814574769999994,20.9449
32,9756.0,510.0,0.25,8284.0,22.35,0.2681067476999999,20.9449
33,10058.0,534.0,0.31,8283.0,22.29,0.33067474769999994,20.8849
34,10360.0,467.0,0.15,8281.0,22.29,0.15600574769999995,20.8849
35,10663.0,503.0,0.24,8281.0,22.25,0.24985774769999994,20.8449
36,10965.0,466.0,0.14,8280.0,22.22,0.15339874769999995,20.814899999999998
37,11268.0,464.0,0.14,8279.0,22.15,0.14818474769999995,20.744899999999998
38,11571.0,528.0,0.3,8277.0,22.12,0.31503274769999995,20.7149
39,11873.0,509.0,0.25,8275.0,22.08,0.26549974769999996,20.674899999999997
40,12176.0,478.0,0.17,8274.0,22.05,0.18468274769999996,20.6449
41,12478.0,502.0,0.23,8272.0,21.98,0.24725074769999994,20.5749
42,12780.0,474.0,0.16,8272.0,21.95,0.17425474769999996,20.5449
43,13083.0,479.0,0.18,8270.0,21.88,0.18728974769999995,20.474899999999998
44,13385.0,470.0,0.15,8268.0,21.81,0.16382674769999994,20.404899999999998
45,13687.0,484.0,0.19,8267.0,21.74,0.20032474769999994,20.334899999999998
46,13990.0,447.0,0.1,8265.0,21.68,0.10386574769999996,20.2749
47,14292.0,458.0,0.12,8264.0,21.68,0.13254274769999996,20.2749
48,14595.0,475.0,0.17,8262.0,21.61,0.17686174769999996,20.2049
49,14897.0,489.0,0.2,8260.0,21.54,0.21335974769999996,20.1349
50,15200.0,474.0,0.16,8259.0,21.51,0.17425474769999996,20.1049
51,15505.0,450.0,0.1,8257.0,21.44,0.11168674769999995,20.0349
52,15807.0,482.0,0.18,8255.0,21.37,0.19511074769999995,19.9649
53,16110.0,433.0,0.06,8253.0,21.34,0.06736774769999995,19.9349
54,16412.0,465.0,0.14,8252.0,21.27,0.15079174769999995,19.8649
55,16714.0,416.0,0.02,8250.0,21.2,0.023048747699999955,19.7949
56,17017.0,420.0,0.03,8249.0,21.17,0.033476747699999955,19.7649
57,17319.0,419.0,0.03,8248.0,21.1,0.030869747699999957,19.6949
58,17621.0,416.0,0.02,8247.0,21.07,0.023048747699999955,19.6649
59,17925.0,421.0,0.03,8246.0,21.03,0.03608374769999995,19.6249
60,18227.0,409.0,0.0,8244.0,21.0,0.004799747699999956,19.5949
61,18529.0,422.0,0.03,8243.0,20.93,0.03869074769999996,19.5249
62,18832.0,414.0,0.01,8241.0,20.87,0.017834747699999955,19.4649
63,19134.0,405.0,0.0,8239.0,20.87,0.0,19.4649
64,19436.0,405.0,0.0,8238.0,20.8,0.0,19.3949
65,19739.0,405.0,0.0,8236.0,20.76,0.0,19.3549
66,20041.0,405.0,0.0,8236.0,20.73,0.0,19.3249
67,20343.0,405.0,0.0,8235.0,20.7,0.0,19.2949
68,20646.0,405.0,0.0,8234.0,20.63,0.0,19.224899999999998
69,20948.0,405.0,0.0,8232.0,20.6,0.0,19.1949
70,21254.0,405.0,0.0,8231.0,20.53,0.0,19.1249
71,21556.0,422.0,0.03,8230.0,20.49,0.03869074769999996,19.084899999999998
72,21859.0,444.0,0.09,8228.0,20.49,0.09604474769999996,19.084899999999998
73,22161.0,437.0,0.07,8228.0,20.43,0.07779574769999996,19.0249
74,22464.0,405.0,0.0,8226.0,20.39,0.0,18.9849
75,22766.0,405.0,0.0,8226.0,20.36,0.0,18.9549
76,23068.0,406.0,0.0,8225.0,20.33,0.0,18.924899999999997
77,23370.0,405.0,0.0,8223.0,20.33,0.0,18.924899999999997
78,23673.0,405.0,0.0,8222.0,20.26,0.0,18.8549
79,23975.0,405.0,0.0,8221.0,20.22,0.0,18.814899999999998
80,24277.0,405.0,0.0,8220.0,20.19,0.0,18.7849
81,24580.0,405.0,0.0,8220.0,20.16,0.0,18.7549
