,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
14,4285.0,422.0,0.03,8253.0,21.31,0.0,21.1239
15,4586.0,424.0,0.04,8253.0,21.34,0.0,21.1539
16,4886.0,423.0,0.04,8253.0,21.34,0.0,21.1539
17,5186.0,424.0,0.04,8253.0,21.31,0.0,21.1239
18,5490.0,425.0,0.04,8253.0,21.34,0.0,21.1539
19,5790.0,420.0,0.03,8253.0,21.34,0.0,21.1539
20,6090.0,419.0,0.03,8253.0,21.34,0.0,21.1539
21,6391.0,420.0,0.03,8253.0,21.31,0.0,21.1239
22,6691.0,418.0,0.02,8254.0,21.34,0.0,21.1539
23,6992.0,406.0,0.0,8254.0,21.34,0.0,21.1539
24,7292.0,405.0,0.0,8253.0,21.34,0.0,21.1539
25,7594.0,522.0,0.28,8254.0,21.31,0.2654588199,21.1239
26,7894.0,487.0,0.2,8253.0,21.31,0.15062381989999996,21.1239
27,8195.0,451.0,0.11,8253.0,21.31,0.03250781989999995,21.1239
28,8495.0,440.0,0.08,8253.0,21.31,0.0,21.1239
29,8795.0,482.0,0.18,8253.0,21.31,0.13421881989999995,21.1239
30,9096.0,450.0,0.1,8252.0,21.27,0.029226819899999947,21.0839
31,9396.0,470.0,0.15,8252.0,21.27,0.09484681989999995,21.0839
32,9697.0,480.0,0.18,8251.0,21.27,0.12765681989999994,21.0839
33,9997.0,424.0,0.04,8251.0,21.24,0.0,21.0539
34,10298.0,502.0,0.23,8250.0,21.2,0.19983881989999994,21.0139
35,10598.0,491.0,0.21,8250.0,21.17,0.16374781989999995,20.983900000000002
36,10899.0,492.0,0.21,8249.0,21.14,0.16702881989999996,20.9539
37,11202.0,545.0,0.34,8249.0,21.17,0.3409218199,20.983900000000002
38,11503.0,514.0,0.26,8248.0,21.14,0.23921081989999995,20.9539
39,11803.0,502.0,0.23,8247.0,21.07,0.19983881989999994,20.8839
40,12104.0,512.0,0.26,8246.0,21.07,0.23264881989999994,20.8839
41,12406.0,514.0,0.26,8245.0,21.03,0.23921081989999995,20.8439
42,12707.0,488.0,0.2,8245.0,21.03,0.15390481989999996,20.8439
43,13007.0,493.0,0.21,8243.0,20.97,0.17030981989999994,20.7839
44,13308.0,502.0,0.23,8243.0,20.97,0.19983881989999994,20.7839
45,13608.0,516.0,0.27,8242.0,20.93,0.24577281989999994,20.7439
46,13910.0,512.0,0.26,8241.0,20.9,0.23264881989999994,20.7139
47,14210.0,494.0,0.21,8239.0,20.87,0.17359081989999994,20.6839
48,14511.0,481.0,0.18,8239.0,20.83,0.13093781989999995,20.6439
49,14811.0,519.0,0.28,8238.0,20.76,0.25561581989999993,20.573900000000002
50,15112.0,533.0,0.31,8236.0,20.76,0.30154981989999996,20.573900000000002
51,15412.0,533.0,0.31,8236.0,20.73,0.30154981989999996,20.5439
52,15713.0,574.0,0.42,8235.0,20.7,0.43607081989999996,20.5139
53,16013.0,537.0,0.32,8234.0,20.66,0.31467381989999993,20.4739
54,16314.0,525.0,0.29,8232.0,20.6,0.27530181989999997,20.4139
55,16614.0,493.0,0.21,8232.0,20.56,0.17030981989999994,20.3739
56,16918.0,471.0,0.16,8230.0,20.53,0.09812781989999995,20.3439
57,17218.0,461.0,0.13,8229.0,20.49,0.06531781989999995,20.3039
58,17519.0,410.0,0.0,8228.0,20.46,0.0,20.2739
59,17819.0,442.0,0.08,8227.0,20.43,0.0029788198999999467,20.2439
60,18120.0,452.0,0.11,8226.0,20.39,0.03578881989999995,20.2039
61,18420.0,438.0,0.07,8225.0,20.36,0.0,20.1739
62,18721.0,461.0,0.13,8224.0,20.33,0.06531781989999995,20.1439
63,19021.0,484.0,0.19,8223.0,20.29,0.14078081989999994,20.1039
64,19322.0,475.0,0.17,8222.0,20.22,0.11125181989999995,20.0339
65,19622.0,464.0,0.14,8221.0,20.22,0.07516081989999995,20.0339
66,19922.0,472.0,0.16,8220.0,20.19,0.10140881989999995,20.0039
67,20224.0,471.0,0.16,8219.0,20.16,0.09812781989999995,19.9739
68,20524.0,477.0,0.17,8218.0,20.12,0.11781381989999995,19.9339
69,20825.0,490.0,0.2,8217.0,20.06,0.16046681989999995,19.8739
70,21125.0,463.0,0.14,8216.0,20.06,0.07187981989999995,19.8739
71,21426.0,445.0,0.09,8215.0,19.99,0.012821819899999946,19.8039
72,21728.0,405.0,0.0,8214.0,19.95,0.0,19.7639
73,22029.0,405.0,0.0,8213.0,19.95,0.0,19.7639
74,22329.0,405.0,0.0,8212.0,19.92,0.0,19.733900000000002
75,22632.0,420.0,0.03,8211.0,19.89,0.0,19.7039
76,22933.0,415.0,0.02,8210.0,19.85,0.0,19.6639
77,23233.0,423.0,0.04,8209.0,19.85,0.0,19.6639
78,23534.0,432.0,0.06,8209.0,19.82,0.0,19.6339
79,23834.0,429.0,0.05,8207.0,19.78,0.0,19.5939
80,24135.0,412.0,0.01,8207.0,19.75,0.0,19.5639
