,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
15,4584.0,420.0,0.03,8263.0,21.61,0.0,21.4239
16,4884.0,428.0,0.05,8262.0,21.64,0.0,21.4539
17,5184.0,421.0,0.03,8263.0,21.64,0.0,21.4539
18,5487.0,430.0,0.05,8263.0,21.64,0.0,21.4539
19,5788.0,405.0,0.0,8262.0,21.61,0.0,21.4239
20,6088.0,405.0,0.0,8262.0,21.61,0.0,21.4239
21,6389.0,405.0,0.0,8263.0,21.64,0.0,21.4539
22,6689.0,405.0,0.0,8263.0,21.61,0.0,21.4239
23,6990.0,405.0,0.0,8262.0,21.61,0.0,21.4239
24,7290.0,405.0,0.0,8261.0,21.58,0.0,21.3939
25,7591.0,405.0,0.0,8262.0,21.58,0.0,21.3939
26,7891.0,405.0,0.0,8261.0,21.61,0.0,21.4239
27,8192.0,405.0,0.0,8261.0,21.61,0.0,21.4239
28,8493.0,405.0,0.0,8260.0,21.61,0.0,21.4239
29,8793.0,405.0,0.0,8261.0,21.58,0.0,21.3939
30,9093.0,413.0,0.01,8260.0,21.58,0.0,21.3939
31,9394.0,425.0,0.04,8261.0,21.58,0.0,21.3939
32,9694.0,412.0,0.01,8261.0,21.54,0.0,21.3539
33,9995.0,416.0,0.02,8260.0,21.54,0.0,21.3539
34,10295.0,440.0,0.08,8260.0,21.51,0.0,21.323900000000002
35,10596.0,431.0,0.06,8259.0,21.54,0.0,21.3539
36,10896.0,405.0,0.0,8258.0,21.47,0.0,21.2839
37,11197.0,411.0,0.01,8259.0,21.47,0.0,21.2839
38,11500.0,426.0,0.04,8258.0,21.47,0.0,21.2839
39,11801.0,411.0,0.01,8258.0,21.44,0.0,21.2539
40,12101.0,420.0,0.03,8258.0,21.44,0.0,21.2539
41,12403.0,405.0,0.0,8257.0,21.44,0.0,21.2539
42,12704.0,416.0,0.02,8256.0,21.44,0.0,21.2539
43,13005.0,427.0,0.05,8256.0,21.44,0.0,21.2539
44,13305.0,414.0,0.01,8256.0,21.41,0.0,21.2239
45,13606.0,406.0,0.0,8256.0,21.41,0.0,21.2239
46,13906.0,405.0,0.0,8256.0,21.37,0.0,21.1839
47,14206.0,405.0,0.0,8255.0,21.37,0.0,21.1839
48,14508.0,411.0,0.01,8255.0,21.34,0.0,21.1539
49,14808.0,419.0,0.03,8254.0,21.34,0.0,21.1539
50,15109.0,424.0,0.04,8253.0,21.34,0.0,21.1539
51,15409.0,421.0,0.03,8254.0,21.34,0.0,21.1539
52,15710.0,420.0,0.03,8254.0,21.34,0.0,21.1539
53,16010.0,421.0,0.03,8254.0,21.31,0.0,21.1239
54,16311.0,423.0,0.04,8253.0,21.31,0.0,21.1239
55,16611.0,416.0,0.02,8253.0,21.31,0.0,21.1239
56,16912.0,409.0,0.0,8253.0,21.31,0.0,21.1239
57,17215.0,416.0,0.02,8252.0,21.31,0.0,21.1239
58,17515.0,424.0,0.04,8252.0,21.27,0.0,21.0839
59,17816.0,416.0,0.02,8252.0,21.27,0.0,21.0839
60,18116.0,418.0,0.02,8251.0,21.27,0.0,21.0839
61,18417.0,413.0,0.01,8251.0,21.24,0.0,21.0539
62,18717.0,415.0,0.02,8251.0,21.24,0.0,21.0539
63,19018.0,423.0,0.04,8251.0,21.27,0.0,21.0839
64,19318.0,415.0,0.02,8251.0,21.24,0.0,21.0539
65,19619.0,409.0,0.0,8251.0,21.24,0.0,21.0539
66,19919.0,425.0,0.04,8251.0,21.2,0.0,21.0139
67,20220.0,422.0,0.03,8250.0,21.24,0.0,21.0539
68,20520.0,422.0,0.03,8251.0,21.2,0.0,21.0139
69,20822.0,421.0,0.03,8251.0,21.24,0.0,21.0539
70,21122.0,421.0,0.03,8250.0,21.2,0.0,21.0139
71,21425.0,416.0,0.02,8250.0,21.2,0.0,21.0139
72,21725.0,419.0,0.03,8251.0,21.2,0.0,21.0139
73,22026.0,426.0,0.04,8250.0,21.24,0.0,21.0539
74,22326.0,423.0,0.04,8250.0,21.2,0.0,21.0139
75,22627.0,416.0,0.02,8250.0,21.24,0.0,21.0539
76,22930.0,414.0,0.01,8250.0,21.2,0.0,21.0139
77,23231.0,418.0,0.02,8250.0,21.2,0.0,21.0139
78,23531.0,419.0,0.03,8250.0,21.2,0.0,21.0139
79,23832.0,419.0,0.03,8250.0,21.2,0.0,21.0139
80,24132.0,423.0,0.04,8250.0,21.2,0.0,21.0139
81,24433.0,416.0,0.02,8249.0,21.2,0.0,21.0139
