,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
9,2764.0,457.0,0.12,8270.0,21.88,0.13115787519999997,21.220299999999998
10,3062.0,649.0,0.6,8270.0,21.91,0.6549338751999999,21.2503
11,3360.0,694.0,0.72,8270.0,21.91,0.7776938752,21.2503
12,3658.0,698.0,0.73,8270.0,21.88,0.7886058751999999,21.220299999999998
13,3956.0,573.0,0.41,8270.0,21.91,0.44760587519999995,21.2503
14,4254.0,424.0,0.04,8270.0,21.88,0.04113387519999997,21.220299999999998
15,4552.0,504.0,0.24,8270.0,21.88,0.25937387519999994,21.220299999999998
16,4850.0,492.0,0.21,8269.0,21.85,0.22663787519999995,21.1903
17,5148.0,649.0,0.6,8269.0,21.85,0.6549338751999999,21.1903
18,5446.0,628.0,0.55,8269.0,21.81,0.5976458752,21.150299999999998
19,5744.0,575.0,0.42,8268.0,21.85,0.45306187519999996,21.1903
20,6042.0,573.0,0.41,8268.0,21.81,0.44760587519999995,21.150299999999998
21,6340.0,562.0,0.39,8267.0,21.78,0.41759787519999997,21.1203
22,6638.0,566.0,0.4,8267.0,21.74,0.42850987519999995,21.080299999999998
23,6936.0,602.0,0.49,8266.0,21.74,0.5267178751999999,21.080299999999998
24,7237.0,620.0,0.53,8265.0,21.71,0.5758218751999999,21.0503
25,7535.0,649.0,0.6,8264.0,21.68,0.6549338751999999,21.0203
26,7833.0,650.0,0.61,8264.0,21.64,0.6576618752,20.9803
27,8131.0,678.0,0.68,8262.0,21.61,0.7340458752,20.9503
28,8429.0,676.0,0.67,8261.0,21.61,0.7285898752,20.9503
29,8727.0,688.0,0.7,8261.0,21.54,0.7613258752,20.8803
30,9025.0,659.0,0.63,8259.0,21.51,0.6822138752,20.8503
31,9323.0,673.0,0.66,8258.0,21.47,0.7204058752,20.810299999999998
32,9621.0,655.0,0.62,8257.0,21.44,0.6713018752,20.7803
33,9919.0,698.0,0.73,8256.0,21.41,0.7886058751999999,20.7503
34,10217.0,652.0,0.61,8255.0,21.37,0.6631178752,20.7103
35,10515.0,623.0,0.54,8254.0,21.34,0.5840058751999999,20.6803
36,10813.0,590.0,0.46,8252.0,21.27,0.4939818752,20.6103
37,11111.0,582.0,0.44,8252.0,21.24,0.47215787519999997,20.580299999999998
38,11409.0,613.0,0.51,8250.0,21.2,0.5567258751999999,20.5403
39,11707.0,575.0,0.42,8249.0,21.17,0.45306187519999996,20.5103
40,12005.0,576.0,0.42,8248.0,21.1,0.45578987519999997,20.4403
41,12303.0,568.0,0.4,8246.0,21.07,0.43396587519999996,20.4103
42,12601.0,596.0,0.47,8246.0,21.0,0.5103498752,20.3403
43,12902.0,599.0,0.48,8244.0,21.0,0.5185338751999999,20.3403
44,13200.0,594.0,0.47,8242.0,20.93,0.5048938752,20.2703
45,13498.0,554.0,0.37,8240.0,20.9,0.39577387519999996,20.240299999999998
46,13796.0,570.0,0.41,8239.0,20.83,0.4394218752,20.170299999999997
47,14094.0,597.0,0.47,8239.0,20.8,0.5130778751999999,20.1403
48,14392.0,564.0,0.39,8237.0,20.73,0.4230538752,20.0703
49,14690.0,593.0,0.46,8236.0,20.7,0.5021658752,20.0403
50,14988.0,599.0,0.48,8234.0,20.7,0.5185338751999999,20.0403
51,15286.0,427.0,0.05,8233.0,20.6,0.049317875199999965,19.9403
52,15584.0,528.0,0.3,8232.0,20.56,0.32484587519999997,19.900299999999998
53,15883.0,520.0,0.28,8230.0,20.53,0.30302187519999996,19.8703
54,16181.0,507.0,0.25,8229.0,20.46,0.26755787519999996,19.8003
55,16479.0,504.0,0.24,8228.0,20.46,0.25937387519999994,19.8003
56,16777.0,405.0,0.0,8226.0,20.39,0.0,19.7303
57,17075.0,415.0,0.02,8226.0,20.36,0.016581875199999967,19.7003
58,17373.0,423.0,0.04,8224.0,20.33,0.03840587519999997,19.670299999999997
59,17671.0,420.0,0.03,8223.0,20.29,0.030221875199999967,19.6303
60,17969.0,405.0,0.0,8222.0,20.22,0.0,19.560299999999998
61,18267.0,405.0,0.0,8221.0,20.22,0.0,19.560299999999998
62,18567.0,405.0,0.0,8220.0,20.19,0.0,19.5303
63,18865.0,405.0,0.0,8219.0,20.19,0.0,19.5303
64,19163.0,405.0,0.0,8218.0,20.12,0.0,19.4603
65,19461.0,405.0,0.0,8217.0,20.09,0.0,19.4303
66,19759.0,405.0,0.0,8217.0,20.09,0.0,19.4303
67,20057.0,405.0,0.0,8216.0,20.06,0.0,19.400299999999998
68,20355.0,405.0,0.0,8215.0,20.06,0.0,19.400299999999998
69,20652.0,405.0,0.0,8215.0,20.02,0.0,19.3603
70,20950.0,405.0,0.0,8213.0,19.99,0.0,19.330299999999998
71,21248.0,405.0,0.0,8213.0,19.95,0.0,19.2903
72,21546.0,405.0,0.0,8213.0,19.95,0.0,19.2903
73,21844.0,405.0,0.0,8212.0,19.95,0.0,19.2903
74,22142.0,405.0,0.0,8211.0,19.92,0.0,19.2603
75,22440.0,405.0,0.0,8211.0,19.89,0.0,19.2303
