,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
16,4915.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
17,5217.0,405.0,0.0,8287.0,22.49,0.0,21.084899999999998
18,5519.0,405.0,0.0,8288.0,22.45,0.0,21.0449
19,5821.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
20,6124.0,405.0,0.0,8287.0,22.49,0.0,21.084899999999998
21,6426.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
22,6728.0,405.0,0.0,8289.0,22.52,0.0,21.1149
23,7030.0,405.0,0.0,8288.0,22.45,0.0,21.0449
24,7332.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
25,7634.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
26,7936.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
27,8239.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
28,8541.0,405.0,0.0,8288.0,22.49,0.0,21.084899999999998
29,8846.0,479.0,0.18,8288.0,22.49,0.18728974769999995,21.084899999999998
30,9149.0,488.0,0.2,8287.0,22.49,0.21075274769999996,21.084899999999998
31,9451.0,405.0,0.0,8287.0,22.45,0.0,21.0449
32,9753.0,570.0,0.41,8286.0,22.45,0.42452674769999993,21.0449
33,10055.0,547.0,0.35,8286.0,22.42,0.36456574769999994,21.0149
34,10357.0,538.0,0.32,8286.0,22.39,0.34110274769999993,20.9849
35,10659.0,519.0,0.28,8284.0,22.42,0.29156974769999994,21.0149
36,10962.0,523.0,0.29,8283.0,22.32,0.30199774769999993,20.9149
37,11264.0,495.0,0.22,8283.0,22.32,0.22900174769999995,20.9149
38,11567.0,493.0,0.21,8282.0,22.29,0.22378774769999996,20.8849
39,11869.0,507.0,0.25,8280.0,22.25,0.26028574769999996,20.8449
40,12171.0,500.0,0.23,8280.0,22.18,0.24203674769999994,20.7749
41,12474.0,546.0,0.35,8278.0,22.15,0.36195874769999997,20.744899999999998
42,12776.0,540.0,0.33,8277.0,22.12,0.3463167476999999,20.7149
43,13078.0,526.0,0.29,8276.0,22.05,0.30981874769999995,20.6449
44,13380.0,490.0,0.2,8274.0,22.01,0.21596674769999996,20.6049
45,13682.0,475.0,0.17,8273.0,21.95,0.17686174769999996,20.5449
46,13984.0,441.0,0.08,8271.0,21.91,0.08822374769999995,20.5049
47,14287.0,448.0,0.1,8270.0,21.88,0.10647274769999995,20.474899999999998
48,14592.0,437.0,0.07,8269.0,21.81,0.07779574769999996,20.404899999999998
49,14895.0,411.0,0.01,8268.0,21.78,0.010013747699999955,20.3749
50,15197.0,430.0,0.05,8265.0,21.71,0.05954674769999996,20.3049
51,15500.0,494.0,0.21,8264.0,21.64,0.22639474769999995,20.2349
52,15802.0,470.0,0.15,8262.0,21.61,0.16382674769999994,20.2049
53,16104.0,516.0,0.27,8261.0,21.58,0.28374874769999997,20.174899999999997
54,16406.0,457.0,0.12,8259.0,21.51,0.12993574769999996,20.1049
55,16708.0,478.0,0.17,8258.0,21.44,0.18468274769999996,20.0349
56,17010.0,490.0,0.2,8256.0,21.41,0.21596674769999996,20.0049
57,17312.0,442.0,0.08,8254.0,21.31,0.09083074769999995,19.904899999999998
58,17614.0,440.0,0.08,8252.0,21.31,0.08561674769999995,19.904899999999998
59,17917.0,446.0,0.09,8252.0,21.24,0.10125874769999996,19.834899999999998
60,18238.0,405.0,0.0,8249.0,21.17,0.0,19.7649
61,18540.0,411.0,0.01,8247.0,21.14,0.010013747699999955,19.7349
62,18842.0,452.0,0.11,8246.0,21.07,0.11690074769999996,19.6649
63,19144.0,456.0,0.12,8245.0,20.97,0.12732874769999997,19.564899999999998
64,19446.0,448.0,0.1,8243.0,20.97,0.10647274769999995,19.564899999999998
65,19748.0,450.0,0.1,8242.0,20.9,0.11168674769999995,19.494899999999998
66,20050.0,405.0,0.0,8240.0,20.87,0.0,19.4649
67,20356.0,418.0,0.02,8239.0,20.8,0.028262747699999955,19.3949
68,20658.0,429.0,0.05,8237.0,20.73,0.05693974769999995,19.3249
69,20960.0,442.0,0.08,8236.0,20.7,0.09083074769999995,19.2949
70,21262.0,447.0,0.1,8234.0,20.66,0.10386574769999996,19.2549
71,21565.0,409.0,0.0,8233.0,20.6,0.004799747699999956,19.1949
72,21867.0,424.0,0.04,8232.0,20.6,0.043904747699999955,19.1949
73,22169.0,418.0,0.02,8230.0,20.53,0.028262747699999955,19.1249
74,22471.0,405.0,0.0,8229.0,20.49,0.0,19.084899999999998
75,22773.0,405.0,0.0,8228.0,20.46,0.0,19.0549
76,23075.0,405.0,0.0,8227.0,20.43,0.0,19.0249
77,23377.0,451.0,0.11,8226.0,20.39,0.11429374769999995,18.9849
78,23679.0,450.0,0.1,8225.0,20.33,0.11168674769999995,18.924899999999997
79,23982.0,481.0,0.18,8223.0,20.29,0.19250374769999995,18.8849
80,24284.0,424.0,0.04,8223.0,20.26,0.043904747699999955,18.8549
81,24586.0,405.0,0.0,8221.0,20.22,0.0,18.814899999999998
82,24888.0,405.0,0.0,8220.0,20.19,0.0,18.7849
