,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
16,4882.0,429.0,0.05,8258.0,21.51,0.0,21.323900000000002
17,5185.0,410.0,0.0,8258.0,21.51,0.0,21.323900000000002
18,5486.0,422.0,0.03,8259.0,21.51,0.0,21.323900000000002
19,5786.0,421.0,0.03,8258.0,21.47,0.0,21.2839
20,6086.0,426.0,0.04,8259.0,21.47,0.0,21.2839
21,6387.0,427.0,0.05,8259.0,21.47,0.0,21.2839
22,6687.0,515.0,0.27,8258.0,21.51,0.24249181989999996,21.323900000000002
23,6988.0,467.0,0.15,8259.0,21.51,0.08500381989999994,21.323900000000002
24,7288.0,418.0,0.02,8258.0,21.47,0.0,21.2839
25,7589.0,405.0,0.0,8258.0,21.51,0.0,21.323900000000002
26,7889.0,405.0,0.0,8258.0,21.47,0.0,21.2839
27,8190.0,405.0,0.0,8258.0,21.47,0.0,21.2839
28,8491.0,405.0,0.0,8258.0,21.47,0.0,21.2839
29,8794.0,405.0,0.0,8258.0,21.47,0.0,21.2839
30,9094.0,405.0,0.0,8257.0,21.44,0.0,21.2539
31,9395.0,405.0,0.0,8257.0,21.47,0.0,21.2839
32,9695.0,433.0,0.06,8257.0,21.44,0.0,21.2539
33,9996.0,423.0,0.04,8257.0,21.44,0.0,21.2539
34,10296.0,423.0,0.04,8257.0,21.44,0.0,21.2539
35,10596.0,424.0,0.04,8257.0,21.44,0.0,21.2539
36,10897.0,415.0,0.02,8257.0,21.41,0.0,21.2239
37,11200.0,418.0,0.02,8256.0,21.41,0.0,21.2239
38,11501.0,417.0,0.02,8256.0,21.41,0.0,21.2239
39,11801.0,418.0,0.02,8256.0,21.41,0.0,21.2239
40,12102.0,413.0,0.01,8256.0,21.41,0.0,21.2239
41,12402.0,416.0,0.02,8256.0,21.44,0.0,21.2539
42,12703.0,424.0,0.04,8255.0,21.37,0.0,21.1839
43,13003.0,418.0,0.02,8255.0,21.37,0.0,21.1839
44,13304.0,417.0,0.02,8256.0,21.41,0.0,21.2239
45,13604.0,420.0,0.03,8255.0,21.37,0.0,21.1839
46,13905.0,422.0,0.03,8255.0,21.37,0.0,21.1839
47,14205.0,422.0,0.03,8254.0,21.37,0.0,21.1839
48,14507.0,422.0,0.03,8255.0,21.37,0.0,21.1839
49,14807.0,420.0,0.03,8254.0,21.34,0.0,21.1539
50,15108.0,420.0,0.03,8254.0,21.37,0.0,21.1839
51,15408.0,431.0,0.06,8255.0,21.34,0.0,21.1539
52,15709.0,447.0,0.1,8255.0,21.34,0.019383819899999946,21.1539
53,16009.0,457.0,0.12,8253.0,21.34,0.052193819899999945,21.1539
54,16310.0,405.0,0.0,8254.0,21.34,0.0,21.1539
55,16610.0,411.0,0.01,8253.0,21.31,0.0,21.1239
56,16914.0,434.0,0.06,8253.0,21.31,0.0,21.1239
57,17214.0,405.0,0.0,8253.0,21.31,0.0,21.1239
58,17515.0,405.0,0.0,8252.0,21.27,0.0,21.0839
59,17817.0,405.0,0.0,8252.0,21.24,0.0,21.0539
60,18117.0,405.0,0.0,8252.0,21.24,0.0,21.0539
61,18418.0,405.0,0.0,8251.0,21.24,0.0,21.0539
62,18718.0,405.0,0.0,8251.0,21.24,0.0,21.0539
63,19019.0,405.0,0.0,8250.0,21.24,0.0,21.0539
64,19319.0,412.0,0.01,8251.0,21.24,0.0,21.0539
65,19619.0,426.0,0.04,8250.0,21.2,0.0,21.0139
66,19920.0,419.0,0.03,8249.0,21.17,0.0,20.983900000000002
67,20220.0,421.0,0.03,8248.0,21.17,0.0,20.983900000000002
68,20521.0,420.0,0.03,8249.0,21.17,0.0,20.983900000000002
69,20822.0,436.0,0.07,8249.0,21.14,0.0,20.9539
70,21123.0,467.0,0.15,8248.0,21.14,0.08500381989999994,20.9539
71,21423.0,447.0,0.1,8247.0,21.1,0.019383819899999946,20.9139
72,21724.0,445.0,0.09,8248.0,21.14,0.012821819899999946,20.9539
73,22024.0,411.0,0.01,8247.0,21.1,0.0,20.9139
74,22325.0,415.0,0.02,8246.0,21.1,0.0,20.9139
75,22628.0,415.0,0.02,8246.0,21.07,0.0,20.8839
76,22929.0,421.0,0.03,8245.0,21.07,0.0,20.8839
77,23229.0,407.0,0.0,8246.0,21.03,0.0,20.8439
78,23529.0,416.0,0.02,8245.0,21.03,0.0,20.8439
79,23830.0,470.0,0.15,8245.0,21.0,0.09484681989999995,20.8139
80,24130.0,505.0,0.24,8244.0,21.0,0.20968181989999995,20.8139
81,24431.0,419.0,0.03,8244.0,21.0,0.0,20.8139
82,24731.0,438.0,0.07,8243.0,20.97,0.0,20.7839
