,Time,Wind Raw,Wind m/s,RTD Raw,RTD DegC,Wind m/s Scaled,RTD DegC Scaled
21,6392.0,422.0,0.03,8253.0,21.34,0.0,21.1539
22,6692.0,444.0,0.09,8253.0,21.31,0.009540819899999947,21.1239
23,6993.0,539.0,0.33,8254.0,21.34,0.32123581989999994,21.1539
24,7293.0,609.0,0.5,8253.0,21.31,0.5509058199,21.1239
25,7595.0,405.0,0.0,8253.0,21.34,0.0,21.1539
26,7895.0,464.0,0.14,8253.0,21.31,0.07516081989999995,21.1239
27,8196.0,472.0,0.16,8253.0,21.31,0.10140881989999995,21.1239
28,8496.0,681.0,0.69,8253.0,21.31,0.7871378199,21.1239
29,8797.0,623.0,0.54,8253.0,21.31,0.5968398199,21.1239
30,9097.0,671.0,0.66,8252.0,21.27,0.7543278199,21.0839
31,9398.0,421.0,0.03,8252.0,21.27,0.0,21.0839
32,9698.0,526.0,0.29,8251.0,21.27,0.27858281989999994,21.0839
33,9999.0,668.0,0.65,8250.0,21.24,0.7444848198999999,21.0539
34,10299.0,436.0,0.07,8250.0,21.2,0.0,21.0139
35,10600.0,412.0,0.01,8250.0,21.17,0.0,20.983900000000002
36,10900.0,405.0,0.0,8250.0,21.2,0.0,21.0139
37,11200.0,425.0,0.04,8249.0,21.2,0.0,21.0139
38,11503.0,433.0,0.06,8248.0,21.17,0.0,20.983900000000002
39,11804.0,425.0,0.04,8248.0,21.14,0.0,20.9539
40,12107.0,406.0,0.0,8247.0,21.1,0.0,20.9139
41,12407.0,405.0,0.0,8247.0,21.07,0.0,20.8839
42,12708.0,405.0,0.0,8245.0,21.07,0.0,20.8839
43,13008.0,405.0,0.0,8245.0,21.03,0.0,20.8439
44,13308.0,405.0,0.0,8245.0,21.03,0.0,20.8439
45,13610.0,410.0,0.0,8244.0,21.0,0.0,20.8139
46,13910.0,419.0,0.03,8243.0,21.0,0.0,20.8139
47,14211.0,427.0,0.05,8243.0,20.97,0.0,20.7839
48,14512.0,422.0,0.03,8242.0,20.93,0.0,20.7439
49,14812.0,426.0,0.04,8242.0,20.9,0.0,20.7139
50,15113.0,441.0,0.08,8241.0,20.9,0.0,20.7139
51,15413.0,489.0,0.2,8241.0,20.87,0.15718581989999994,20.6839
52,15714.0,545.0,0.34,8240.0,20.87,0.3409218199,20.6839
53,16014.0,510.0,0.25,8239.0,20.83,0.22608681989999996,20.6439
54,16315.0,489.0,0.2,8239.0,20.83,0.15718581989999994,20.6439
55,16615.0,520.0,0.28,8238.0,20.8,0.25889681989999996,20.6139
56,16916.0,534.0,0.31,8237.0,20.76,0.30483081989999994,20.573900000000002
57,17216.0,539.0,0.33,8237.0,20.76,0.32123581989999994,20.573900000000002
58,17517.0,457.0,0.12,8236.0,20.7,0.052193819899999945,20.5139
59,17820.0,447.0,0.1,8235.0,20.7,0.019383819899999946,20.5139
60,18121.0,617.0,0.52,8234.0,20.66,0.5771538198999999,20.4739
61,18421.0,543.0,0.34,8234.0,20.66,0.33435981989999997,20.4739
62,18722.0,541.0,0.33,8233.0,20.63,0.32779781989999995,20.4439
63,19022.0,562.0,0.39,8232.0,20.6,0.39669881989999994,20.4139
64,19323.0,599.0,0.48,8231.0,20.56,0.5180958199,20.3739
65,19623.0,559.0,0.38,8230.0,20.56,0.38685581989999995,20.3739
66,19925.0,567.0,0.4,8229.0,20.49,0.41310381989999995,20.3039
67,20225.0,571.0,0.41,8228.0,20.49,0.42622781989999997,20.3039
68,20527.0,658.0,0.63,8228.0,20.46,0.7116748198999999,20.2739
69,20828.0,660.0,0.63,8227.0,20.43,0.7182368199,20.2439
70,21129.0,635.0,0.57,8226.0,20.39,0.6362118199,20.2039
71,21429.0,675.0,0.67,8226.0,20.36,0.7674518199,20.1739
72,21730.0,601.0,0.48,8225.0,20.36,0.5246578198999999,20.1739
73,22030.0,456.0,0.12,8224.0,20.33,0.048912819899999946,20.1439
74,22331.0,586.0,0.45,8224.0,20.29,0.4754428199,20.1039
75,22631.0,587.0,0.45,8222.0,20.26,0.47872381989999996,20.073900000000002
76,22932.0,590.0,0.46,8221.0,20.26,0.48856681989999995,20.073900000000002
77,23232.0,558.0,0.38,8221.0,20.22,0.3835748199,20.0339
78,23535.0,473.0,0.16,8220.0,20.16,0.10468981989999995,19.9739
79,23836.0,520.0,0.28,8219.0,20.12,0.25889681989999996,19.9339
80,24136.0,562.0,0.39,8218.0,20.12,0.39669881989999994,19.9339
81,24437.0,632.0,0.56,8217.0,20.06,0.6263688198999999,19.8739
82,24737.0,628.0,0.55,8216.0,20.06,0.6132448198999999,19.8739
83,25038.0,464.0,0.14,8215.0,20.02,0.07516081989999995,19.8339
84,25338.0,405.0,0.0,8214.0,20.02,0.0,19.8339
85,25639.0,409.0,0.0,8214.0,19.99,0.0,19.8039
86,25940.0,447.0,0.1,8213.0,19.92,0.019383819899999946,19.733900000000002
87,26241.0,405.0,0.0,8212.0,19.92,0.0,19.733900000000002
